station_pk,name,x,y,altitude,priority,private,has_measurement,has_warnregion,country,active
10305,Lingen,8030.90052,5660.22978,22,3,0,1,1,Germany,1
10306,Rheine-Bentlage,8059.19148,5784.10416,40,4,0,1,1,Germany,1
10309,Ahaus,7898.74488,5896.0386,46,3,0,1,1,Germany,1
10312,Belm,8340.96384,5768.80488,103,3,0,1,1,Germany,1
10314,Hopsten,8118,5760.00072,39,6,0,0,1,Germany,1
10315,Münster/Osnabr.-Flugh.,8170.72164,5867.3376,48,2,1,1,1,Germany,1
10317,Osnabrück,8298,5805,95,6,0,0,1,Germany,1
10320,Gütersloh,8388,5984.99928,72,6,0,0,1,Germany,1
10321,Diepholz,8403.27948,5622.42384,39,3,0,1,1,Germany,1
10324,Minden,8586,5769.00036,59,6,0,0,1,Germany,1
10325,Bad Salzuflen,8550.7488,5883.7266,135,3,0,1,1,Germany,1
10326,Bielefeld-Flugh.,8478,5957.99982,138,6,0,0,1,Germany,1
10334,Wunstorf,8795.20572,5691.3246,57,4,0,1,1,Germany,1
10335,Bückeburg,8672.01804,5787.8658,70,3,0,1,1,Germany,1
10338,Hannover,8884.05012,5689.21104,56,1,1,1,1,Germany,1
10343,Celle,9010.64628,5618.19672,39,3,0,1,1,Germany,1
10348,Braunschweig,9160.72416,5782.62078,81,3,0,1,1,Germany,1
10356,Ummendorf,9423.32364,5853.52818,162,3,0,1,1,Germany,1
10359,Gardelegen,9501.88716,5663.02698,47,3,0,1,1,Germany,1
10361,Magdeburg,9569.73384,5884.42104,79,2,1,1,1,Germany,1
10365,Genthin,9777.63024,5730.74136,35,3,0,1,1,Germany,1
10368,Wiesenburg,9885.07404,5874.849,187,4,0,1,1,Germany,1
10376,Baruth,10259.86212,5906.8332,56,3,0,1,1,Germany,1
10379,Potsdam,10102.40244,5734.10502,99,2,1,1,1,Germany,1
10381,Berlin-Dahlem,10191.65256,5692.77882,58,1,1,1,1,Germany,1
10382,Berlin-Tegel,10191.18528,5635.2186,37,2,1,1,1,Germany,1
10384,Berlin-Tempelhof,10224.7614,5687.55702,50,3,1,1,1,Germany,1
10385,Berlin-Schönefeld,10271.01924,5734.422,47,4,0,1,1,Germany,1
10389,Berlin-Alex.,10227.76416,5658.93378,37,6,0,0,1,Germany,1
10393,Lindenberg,10482.47028,5827.41432,112,3,1,1,1,Germany,1
10396,Manschnow,10636.27632,5644.7145,12,3,0,1,1,Germany,1
10400,Düsseldorf-Flugh.,7836.71328,6320.187,45,1,1,1,1,Germany,1
10401,Brüggen,7606.59984,6372.0,73,6,0,0,1,Germany,1
10403,Mönchengladbach,7740,6353.99964,37,6,0,0,1,Germany,1
10404,Kalkar,7656.00012,6083.99964,27,3,0,0,1,Germany,1
10405,Niederrhein,7614.0,6156.0,32,6,0,0,1,Germany,1
10406,Bocholt,7751.999988,6030.00072,21,6,0,0,1,Germany,1
10410,Essen,7908.34608,6261.82812,161,2,1,1,1,Germany,1
10416,Dortmund,8142.00012,6201.00036,127,6,0,0,1,Germany,1
10418,Lüdenscheid,8151.29892,6347.6136,387,3,0,1,1,Germany,1
10424,Werl,8239.6854,6168.7062,86,3,0,1,1,Germany,1
10426,Paderborn,8502.00012,6147.0009,213,6,0,0,1,Germany,1
